Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Imp Vol","20D His Vol"
$SPX|20210621|5300.00WC,$SPX,"5,300.00",-27.53%,0.00,0.05,0.10,0.00,0.00,unch,0,0,0.00,0.00%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|5400.00WC,$SPX,"5,400.00",-29.94%,0.00,0.05,0.10,0.00,0.00,unch,0,0,0.00,0.00%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|5500.00WC,$SPX,"5,500.00",-32.34%,0.00,0.05,0.10,0.00,0.00,unch,0,0,0.00,0.00%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|5600.00WC,$SPX,"5,600.00",-34.75%,0.00,0.05,0.10,0.00,0.00,unch,0,0,0.00,0.00%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|5800.00WC,$SPX,"5,800.00",-39.56%,0.00,0.05,0.10,0.00,0.00,unch,0,0,0.00,0.00%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|6000.00WC,$SPX,"6,000.00",-44.37%,0.00,0.05,0.10,0.00,0.00,unch,0,0,0.00,0.00%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|6200.00WC,$SPX,"6,200.00",-49.19%,0.00,0.05,0.10,0.00,0.00,unch,0,0,0.00,0.00%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|1200.00WP,$SPX,"1,200.00",-71.13%,0.00,0.05,0.10,0.00,0.00,unch,0,0,0.00,0.00%,Put,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|1400.00WP,$SPX,"1,400.00",-66.31%,0.00,0.05,0.10,0.00,0.00,unch,0,0,0.00,0.00%,Put,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|1600.00WP,$SPX,"1,600.00",-61.50%,0.00,0.08,0.15,0.00,0.00,unch,0,0,0.00,0.00%,Put,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|1700.00WP,$SPX,"1,700.00",-59.09%,0.00,0.08,0.15,0.00,0.00,unch,0,0,0.00,0.00%,Put,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|1800.00WP,$SPX,"1,800.00",-56.69%,0.05,0.13,0.20,0.00,0.00,unch,0,0,0.00,89.27%,Put,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|1900.00WP,$SPX,"1,900.00",-54.28%,0.05,0.15,0.25,0.00,0.00,unch,0,0,0.00,84.95%,Put,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|2000.00WP,$SPX,"2,000.00",-51.88%,0.10,0.18,0.25,0.00,0.00,unch,0,0,0.00,80.64%,Put,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|2100.00WP,$SPX,"2,100.00",-49.47%,0.15,0.22,0.30,0.20,0.20,unch,6,0,0.00,76.36%,Put,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|2200.00WP,$SPX,"2,200.00",-47.06%,0.20,0.28,0.35,0.25,0.25,unch,40,0,0.00,72.80%,Put,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|2300.00WP,$SPX,"2,300.00",-44.66%,0.25,0.35,0.45,0.00,0.00,unch,0,0,0.00,70.07%,Put,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|2400.00WP,$SPX,"2,400.00",-42.25%,0.35,0.45,0.55,0.40,0.40,unch,19,0,0.00,66.15%,Put,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|2500.00WP,$SPX,"2,500.00",-39.84%,0.45,0.55,0.65,0.00,0.00,unch,0,0,0.00,63.48%,Put,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|2600.00WP,$SPX,"2,600.00",-37.44%,0.60,0.70,0.80,0.00,0.00,unch,0,0,0.00,60.40%,Put,31,06/21/21,N/A,15.25%,13.72%
